0	421	500.340909958	503.3039628551114
1	431.5	515	513.5259162152564
2	437.5	521.5	519.9600978381396
3	442.045454025	525.954545975	525.1216280491311
4	446.5	531.5	530.4200958412181
5	460.42307663	548.192308426	548.5137473862064
6	474	566.5	568.3942252183014
7	477	573	573.0849937328051
8	480.085365295	578.670732498	578.0217147302067
9	484	585.5	584.4494594504451
10	486.5	590	588.650473001248
11	495.5	601.5	604.3941447201832
12	500.822580338	613.403224945	614.1615966291034
13	504.5	619.100000381	621.1082871216228
14	509.5	630.5	630.8132609728873
15	515	642.5	641.8346870359118
16	516.5	647.5	644.9034313852154
0	523	662	668.0492758778673
1	525	646	647.2767716279959
2	528.5	615.5	611.8938572799634
3	530.5	602	592.2287451320808
4	532.5	575	572.966321021293
5	533	562	568.2136349993925
6	536.732143402	538.107143402	533.5332789280765
7	537.5	525.5	526.5720209065767
8	539.5	503.5	508.7190049255951
9	543.205883026	486.205883026	476.7027821655065
10	543.5	475	474.2210370748908
11	544.314815521	467.129629135	467.3911446926504
12	546.636363983	455.818181992	448.29812339448836
13	547.227272034	431.772727966	443.5249691087556
14	549	426	429.41638752241124
15	550.5	410.5	417.72546569313636
16	551.5	403.5	410.05735781854673
17	555	398	384.0117723304902
18	555	392	384.0117723304902
19	556.5	369	373.22689858466765
20	556	364.5	376.79668849762675
21	559.910959244	355.349315643	349.5455712515395
